8/9/2022 "ADU Task Force Update" "foreign policy"
7/27/2020 "A resolution approving a proposed First Amendment between the City and County of Denver and TransCore, LP concerning Automated Vehicle Identification (AVI) revenue control system and Gatekeeper Software at Denver International Airport.
Amends a contract with TransCore, L.P. by adding $1,289,144 for a new total of $2,592,467 and two years for a new end date of 10-23-22 for support of maintenance, upgrades, and professional services for the Automated Vehicle Identification (AVI) revenue control system and the Gatekeeper software at Denver International Airport (202054279-01). The last regularly" infrastructure
7/27/2020 "A resolution approving a proposed Design-Build Construction Contract between the City and County of Denver and Hensel Phelps Construction Co. for the Colorado Convention Center Expansion Project. 
Approves a contract with Hensel Phelps Construction Co. for $212,000,000 and for 1175 Days for a design build contract for the Colorado Convention Center Expansion Project in Council District 9 (202055290). The last regularly scheduled Council meeting within the 30-day review period is on 8-31-20. The Committee approved filing this item at its meeting on 8-5-20." infrastructure
7/23/2020 "A bill for an ordinance amending section 8-67 of the Denver Revised Municipal Code requiring a provisional breed-restricted permit for owners of pit bulls, subject to the approval of the voters at a special municipal election to be held in conjunction with the coordinated election on November 3, 2020.
Amends section 8-67 of the Denver Revised Municipal Code requiring a provisional breed-restricted permit for owners of pit bulls, subject to the approval of the voters at a special municipal election to be held in conjunction with the coordinated election on November 3, 2020. The Committee appro" infrastructure
7/23/2020 "A bill for an ordinance submitting to a vote of the qualified and registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the general election of November 3, 2020, a proposed amendment to the Charter of the City and County of Denver concerning a clarification to the clerk and recorder’s appointments. 
Submits to a vote of the qualified and registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the general election of November 3, 2020, a proposed amendment to the Charter of" infrastructure
7/23/2020 "Parks and Recreation Contracts" infrastructure
7/23/2020 "Community Led Initiatives to Re-Imagine Safety" infrastructure
7/23/2020 "Race and Social Justice Initiative Updates" welfare
7/23/2020 "Scope of Committee" government
7/20/2020 "A resolution approving a proposed Agreement between the City and County of Denver and Western States Reclamation, Inc. for on-call site development, landscape and irrigation installation services in City parks and other City property.
Approves a contract with Western States Reclamation, Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055313). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at i" infrastructure
7/20/2020 "A resolution approving a proposed Agreement between the City and County of Denver and Spectrum General Contractors, Inc. for on-call site development, landscape and irrigation installation services in City parks and other City property.
Approves a contract with Spectrum General Contractors, Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055314). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item" infrastructure
7/20/2020 "A resolution approving a proposed On-Call Construction Services Contract between the City and County of Denver and Richdell Construction, Inc. for Parks’ Site Development, Landscape and Irrigation Installation Services.
Approves a contract with Richdell Construction Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055371). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at its meeting on 7-28-20" infrastructure
7/20/2020 "A resolution approving a proposed On-Call Construction Services Contract between the City and County of Denver and PCL Construction Services, Inc. for Parks’ Site Development, Landscape, and Irrigation Installation Services.
Approves a contract with PCL Construction Services, Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055326). The last regularly scheduled Council meeting within the 30-day review period is on 12-21-20. The Committee approved filing this item at its meeting" infrastructure
7/20/2020 "A resolution approving a proposed On-Call Construction Services Contract between the City and County of Denver and Colorado Designscapes, Inc. for Parks’ Site Development, Landscape and Irrigation Installation Services.
Approves a contract with Colorado Designscapes, Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055319). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at its meeting on 7-28-2" infrastructure
7/20/2020 "A resolution approving a proposed On-Call Construction Services Contract between the City and County of Denver and Haselden Construction, LLC for Parks’ Site Development, Landscape and Irrigation Installation Services.
Approves a contract with Haselden Construction for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055327). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at its meeting on 7-28-20." infrastructure
7/20/2020 "A resolution approving a proposed Agreement between the City and County of Denver and Brightview Landscape Development Inc. for on-call site development, landscape and irrigation installation services in City parks and other City property.
Approves a contract with Brightview Landscape Development Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055334). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this" infrastructure
7/20/2020 "A resolution approving a proposed On-Call Construction Services Contract between the City and County of Denver and T2 Construction, Inc. for Parks’ Site Development, Landscape and Irrigation Installation Services.
Approves a contract with T2 Construction Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055340). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at its meeting on 7-28-20." infrastructure
7/20/2020 "A resolution approving a proposed On-Call Construction Services Contract between the City and County of Denver and Krische Construction, Inc. for Parks’ Site Development, Landscape and Irrigation Installation Services.
Approves a contract with Krische Construction Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055339). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at its meeting on 7-28-20." infrastructure
7/20/2020 "A resolution approving a proposed On-Call Construction Services Contract between the City and County of Denver and Gerald H. Phipps, Inc. for Parks’ Site Development, Landscape and Irrigation Installation Services.
Approves a contract with Gerald H. Phipps, Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055341). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at its meeting on 7-28-20." infrastructure
7/20/2020 "A resolution approving a proposed On-Call Construction Services Contract between the City and County of Denver and ECI Site Construction Management, Inc. for Site Development, Landscape and Irrigation Installation Services.
Approves a contract with ECI Site Construction Management, Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055325). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at its me" infrastructure
7/20/2020 "A resolution approving a proposed Agreement between the City and County of Denver and CTM, Inc. for on-call site development, landscape and irrigation installation services in City parks and other City property.
Approves a contract with CTM, Inc. for $15 million and for three years for on-call site development, landscape and irrigation installation services in City parks and other City property (PARKS-202055336). The last regularly scheduled Council meeting within the 30-day review period is on 10-5-20. The Committee approved filing this item at its meeting on 7-28-20." infrastructure
7/20/2020 "A resolution approving a proposed Master Services Agreement between the City and County of Denver and Samsara Networks, Inc. for hardware and software services to support Fleet Management operations.
Approves a contract with Samsara Networks Inc. for $3,159,043 and through 8-31-25 for comprehensive telematics hardware and software solutions to support Fleet Management operations, citywide (DOTI-202055321). The last regularly scheduled Council meeting within the 30-day review period is on 8-31-20. The Committee approved filing this item at its meeting on 7-28-20." infrastructure
7/20/2020 "A resolution granting a revocable permit to Colorado State University to encroach into the right-of-way near 4780 Packing House Road.
Grants a revocable permit, subject to certain terms and conditions, to the Colorado State University System, their successors and assigns, to encroach into the right-of-way with a Pedestrian Connection Bridge at the National Western Center near 4780 Packing House Road in Council District 9. The Committee approved filing this item at its meeting on 7-28-20." welfare
7/16/2020 "A bill for an ordinance changing the zoning classification for 2535 - 2545 East Asbury Avenue in University Park.
Approves an official map amendment to rezone property from PUD 278 to E-MU-2.5 (planned development to multi-unit), located at 2535-2545 East Asbury Avenue in Council District 6. The Committee approved filing this item at its meeting on 8-4-20." infrastructure
7/20/2020 "A bill for an ordinance amending Article III of Chapter 20 of the Denver Revised Municipal Code regarding the handling of unclaimed warrants, checks or other payments.
Amends Article III of Chapter 20 of the Denver Revised Municipal Code regarding the handling of unclaimed warrants, checks or other payments in response to Senate Bill 19-088 adopting the Revised Uniform Unclaimed Property Act. The Committee approved filing this item at its meeting on 7-28-20." infrastructure
7/16/2020 "A bill for an ordinance changing the zoning classification for 755 Lafayette Street in Country Club.
Approves an official map amendment to rezone property from U-SU-C to U-SU-C1 (allows for an accessory dwelling unit), located at 755 Lafayette Street in Council District 10. The Committee approved filing this item at its meeting on 8-4-20." infrastructure
3/9/2020 "A bill for an ordinance approving a proposed Purchase and Sale Agreement between the City and County of Denver and Cottonwood Community Alternatives, Inc. for properties located at 793 North Olive Street and 716 South Poplar Street.
Approves a purchase and sale agreement with Cottonwood Community Alternatives, Inc. for $10 to sell properties located at 793 Olive Street and 716 South Poplar Street in Council districts 5 and 6, to provide additional housing options to those with physical and developmental disabilities (FINAN-202053251-00). The last regularly scheduled Council meeting within the" welfare
7/22/2020 "A resolution approving a proposed Third Amendatory Agreement between the City and County of Denver and Western Stock Show Association for allowing the City to use the National Western Hall of Education for people experiencing homelessness.
Amends a license agreement with the Western Stock Show Association by adding $835,000 for a new total of $1,685,000 and one month for a new end date of 8-15-20 to license the National Western Complex Hall of Education for use as a men’s auxiliary shelter due to the COVID-19 pandemic (FINAN-202055360-03). Councilmember Black approved filing this item on 7-23" welfare
7/21/2020 "Briefing: Denver COVID Response to Individuals Experiencing Homelessness and the Impacts to the Affordable Housing Plan" welfare
7/21/2020 "Briefing: Denver Jail Population and COVID Response" law
7/20/2020 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the Colorado Department of Public Health and Environment concerning the “CARES Advance Payment” program and the funding therefor.
Approves a grant agreement with the Colorado Department of Public Health and Environment for $656,094 of State funds and through 12-30-20 to provide reimbursement for the delivery and increased provision of school nutrition programs during school closures due to the COVID-19 pandemic, citywide (ENVHL - 2020552239-00). The last regularly sch" welfare
7/20/2020 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and CrossPurpose for targeted training and development of executive functioning and life preparedness skills to clients qualified for TANF benefits.
Amends a contract with CrossPurpose by adding $315,720 for a new total of $775,025 and one year for a new end date of 6-30-21 for targeted training and development of executive functioning and life preparedness skills to clients qualified for TANF benefits, citywide (SOCSV2019-48998-01; SOCSV-202055304-01). The last regularly scheduled Council meeting wit" welfare
7/13/2020 "A resolution approving a proposed Revival and Amendatory Agreement between the City and County of Denver and RRK Enterprises, Inc. dba Independence House for residential and non-residential community corrections services.
Amends a contract with RRK Enterprises Inc., doing business as Independence House, by adding $1,500,000 for a new total of $4,426,465.50 and six months for a new end date of 12-31-20 for residential and non-residential community corrections services (201950075; 202054769-01). The last regularly scheduled Council meeting within the 30-day review period is on 8-31-20. The Comm" infrastructure
7/13/2020 "A bill for an ordinance approving a proposed Revival and Amendatory Agreement between the City and County of Denver and Regents of the University of Colorado for community corrections services.
Amends an agreement with the University of Colorado Health Sciences Center -Addiction Research and Treatment Services by adding $2,100,000 for a new total of $6,370,380.12 and six months for a new end date of 12-31-20 for residential and non-residential community corrections services (201950129; 202054784-01). The last regularly scheduled Council meeting within the 30-day review period is on 8-31-20. T" welfare
7/13/2020 "A bill for an ordinance approving a proposed Intergovernmental Agreement between the City and County of Denver and the State of Colorado, Division of Criminal Justice, to administer the FY 20-21 Community Corrections Program. 
Approves an intergovernmental agreement with Colorado Department of Public Safety for $14,617,066.43 and for one year for funding of the fiscal year 2020-2021 Community Corrections Program (SAFTY-202055221). The last regularly scheduled Council meeting within the 30-day review period is on 8-31-20. The Committee approved filing this item at its meeting on 7-29-20." welfare
7/20/2020 "A resolution approving a proposed Revival and Third Amendatory Agreement between the City and County of Denver and AIDS Resource Center of Wisconsin, Inc. doing business as Vivent Health to provide care, treatment, and supportive services to individuals living with HIV/AIDS in the Denver area.
Amends a contract with AIDS Resource Center of Wisconsin, Inc. doing business as Vivent Health, by adding $357,163 for a new total of $1,197,029 and one year for a new end date of 2-28-21 to provide care, treatment, and supportive services to individuals living with HIV/AIDS in the Denver Transitional G" welfare
7/16/2020 "A resolution approving and providing for the execution of a proposed grant agreement between the City and County of Denver and the United States of America Department of Health and Human Services concerning the ""Head Start FY20-21"" program and the funding therefor.
Approves a grant agreement with the United States Department of Health and Human Services for $9,612,847 and through 6-30-21 to provide comprehensive Head Start services to children (MOEAI-202053543). The last regularly scheduled Council meeting within the 30-day review period is on 8-31-20. The Committee approved filing this item" welfare
7/21/2020 "A resolution approving the City Council appointment of Apryl Alexander to the Citizen Oversight Board.
Approves the City Council appointment of Apryl Alexander to the Citizen Oversight Board. The Committee approved filing this item at its meeting on 7-29-20." infrastructure
7/20/2020 "A resolution approving a proposed Agreement between the City and County of Denver and DHL Express (USA), Inc. concerning a lease of cargo building including an aircraft parking ramp and ground space at Denver International Airport.
Approves a lease agreement with DHL Express (USA), Inc. for rates and charges and through 2-28-23 to lease a 37,375 square foot cargo building, 177,030 square feet of aircraft parking ramp and 265,499 square feet of ground space to support their cargo airline and handling operations at Denver International Airport (201951909). The last regularly scheduled Council m" infrastructure
7/20/2020 "A resolution approving a proposed First Amendment between the City and County of Denver and Alclear, LLC d/b/a Clear concerning a leased space at Denver International Airport.
Amends an agreement with Alclear LLC by adding two years for a new end date of 1-29-20, with a one-year optional renewal, to lease 464 square feet of space to provide services to the airlines at Denver International Airport (201208956). The last regularly scheduled Council meeting within the 30-day review period is on 8-31-20. The Committee approved filing this item at its meeting on 7-29-20." infrastructure
7/20/2020 "A resolution approving a proposed Agreement between the City and County of Denver and Southwest Airlines Co. concerning a lease of a new hangar facility at Denver International Airport.
Approves a hangar agreement with Southwest Airlines Co. for rates and charges and for 32 years to support their operations at Denver International Airport (201951914). The last regularly scheduled Council meeting within the 30-day review period is on 8-31-20. The Committee approved filing this item at its meeting on 7-29-20." infrastructure
7/20/2020 "Race and Social Justice Initiative Updates and City Agencies Equity Plan" infrastructure
7/20/2020 "Election of President and President Pro-Tem" government
7/16/2020 "A proclamation recognizing the extraordinary career and retirement of Robert O. Gibson." infrastructure
7/13/2020 "A resolution extending the declaration of local disaster filed with the clerk and recorder to August 24, 2020. 
Extends the local disaster emergency declaration. Councilmember Clark approved filing this item on 7-16-20." infrastructure
7/13/2020 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the Colorado Department of Public Health and Environment concerning the “Sand Creek Habitat Restoration” program and the funding therefor.
Approves a grant agreement with the Colorado Department of Public Health and Environment for $500,000 and for five years to restore 35 acres of vegetation for bird habitat along Sand Creek between Havana Road and I-70 in Council District 8 (PARKS-202055110). The last regularly scheduled Council meeting within the 30-day review peri" welfare
7/13/2020 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Matrix Design Group, Inc. to modify key personnel and billing rates.
Amends a contract with Matrix Design Group, Inc. to modify key personnel and billing rates for on-call landscape architectural planning, design, and consulting services for parks and parks facilities, citywide. No change to contract amount or duration (PARKS-201947691). The last regularly scheduled Council meeting within the 30-day review period is on 8-24-20. The Committee approved filing this item at its meeting on 7-21-20." infrastructure
7/13/2020 "A resolution approving a proposed Agreement between the City and County of Denver and Ralph L. Wadsworth Construction Company, LLC for construction of a High Line Canal Underpass at Parker Rd. and Mississippi Ave.
Approves a contract with Ralph L. Wadsworth Construction Company LLC for $5,171,086.96 and for 272 days for the construction of a bike/pedestrian box culvert underpass for the High Line Canal Trail crossing under Parker Road and Mississippi Avenue in Council District 6 (201952601). The last regularly scheduled Council meeting within the 30-day review period is on 8-24-20. The Commit" infrastructure
7/14/2020 "A bill for an ordinance changing the zoning classification for 2520 Wewatta Way and 2901 Broadway in Five Points.
Approves an official map amendment to rezone property from C-MX-16, DO-7 and C-MX-8, DO-7 to C-MX-8, DO-7 and C-MX-16, DO-7 (aligns urban center zoning with surrounding districts), located at 2520 Wewatta Way and 2901 North Broadway Street in Council District 9. The Committee approved filing this item at its meeting on 7-21-20." infrastructure
7/13/2020 "A bill for an ordinance approving a proposed Intergovernmental Agreement between the City and County of Denver and Urban Drainage and Flood Control District d/b/a Mile High Flood District, to add funding for construction of Sand Creek Trail improvements.
Amends an intergovernmental agreement with Urban Drainage Flood Control District, doing business as Mile High Flood District, by adding $3,714,193.37 of City funds for a new total of $4,089,193.37 for construction of Sand Creek Trail Improvements for approximately 3 miles of soft surface trail along the Sand Creek Regional Greenway in Council" infrastructure
7/13/2020 "A resolution approving the Mayor’s reappointment and appointments to the Regional Emergency Medical and Trauma Council.
Approves the Mayoral reappointment of Kevin E. McVaney and the Mayoral appointments of Gary Bryskiewicz, Eric M. Campion and Ryan Lawless to the Regional Emergency Medical and Trauma Council (RETAC) for terms effective immediately and expiring on 2-15-22, or until successors are duly appointed. The Committee approved filing this item on 07-21-20." welfare
7/13/2020 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as a public alley located near South Logan Street and East Louisiana Avenue.
Dedicates a parcel of land as public right of way as public alley, located at the intersection of South Logan Street and East Louisiana Avenue in Council District 7. The Committee approved filing this item at its meeting on 7-21-20." infrastructure
7/13/2020 "A bill for an ordinance relinquishing the easement reserved in Ordinance No. 20170153, Series of 2017, recorded with Denver Clerk & Recorder at Reception No. 2017032202, located at 1401 Wynkoop Street.
Relinquishes a utility easement, in its entirety, as originally reserved in the vacating Ordinance No. 20170153, Series of 2017, located at 1401 Wynkoop Street in Council District 9. The last regularly scheduled Council meeting within the 30-day review period is on 8-24-20. The Committee approved filing this item at its meeting on 7-21-20." infrastructure
7/13/2020 "A resolution granting a revocable permit to West Lot, LLC to encroach into the right-of-way near 1901 Wazee Street.
Grants a revocable permit, subject to certain terms and conditions, to West Lot, LLC their successors and assigns, to encroach into the right-of-way with the Evolution of Ball Sculpture, a baseball-themed arch, located near 1901 Wazee Street in Council District 9. The Committee approved filing this item at its meeting on 7-21-20." infrastructure
7/13/2020 "A resolution approving a proposed Contract between the City and County of Denver and Gerald H. Phipps, Inc. dba GH Phipps Construction Company to replace the existing Red Rocks Amphitheatre stage roof and structure.
Approves a contract with Gerald H. Phipps, Inc. doing business as GH Phipps Construction Company, for $5,150,484 and for 231 days to replace the existing Red Rocks Amphitheatre stage roof and structure as part of the Elevate Denver Bond Program (202054285). The last regularly scheduled Council meeting within the 30-day review period is on 8-24-20. The Committee approved filing thi" infrastructure
7/13/2020 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as East Colfax Avenue at the intersection of East Colfax Avenue and North Garfield Street.
Dedicates a parcel of land as public right of way as East Colfax Avenue, located at the intersection of East Colfax Avenue and North Garfield Street in Council District 10. The Committee approved filing this item at its meeting on 7-21-20." infrastructure
7/13/2020 "A bill for an ordinance changing the zoning classification for 4846 Knox Court in Regis.
Approves an official map amendment to rezone property from U-SU-C to U-SU-C1 (allows for an accessory dwelling unit), located at 4846 Knox Court in Council District 1. The Committee approved filing this item at its meeting on 7-21-20." infrastructure
7/13/2020 "A bill for an ordinance changing the zoning classification for 4855, 4856, 4876 and 4900 Sherman Street, 4824 Lincoln Street, 4877, 4901 and 4978 Grant Street, 5000, 5001 and 5021 Logan Street in Globeville.
Approves an official map amendment to rezone property from E-SU-D and I-MX-3 to OS-A (urban edge to open space), located at 4855 Sherman Street, 4824 Lincoln Street, 4876 Sherman Street, 4900 Sherman Street, 4901 Grant Street, 4978 Grant Street, 5001 Logan Street, 5000 Logan Street, 5021 Logan Street, 4877 Grant Street, and 4856 Sherman Street in Council District 9. The Committee approved" infrastructure
6/29/2020 "A bill for an ordinance approving a proposed Lease Agreement between the City and County of Denver and Denver Health and Hospital Authority for property located at 405 South Platte River Drive.
Approves a lease agreement with Denver Health and Hospital Authority (DHHA) for $50 and through 2-24-2025 for DHHA to lease a portion of 405 South Platte River Drive to support the operation of the Family Crisis Center in Council District 7 (FINAN-202053316-00). The last regularly scheduled Council meeting within the 30-day review period is on 8-24-20. The Committee approved filing this item at its mee" welfare
6/29/2020 "A resolution approving a proposed Escrow Funding Agreement between the City and County of Denver and H.C. Peck & Associates, Inc. for the Broadway Multimodal Access and Safety Improvement Project (South Broadway and Interstate 25).
Approves an escrow agreement with H.C. Peck and Associates, Inc. for $2,900,000 and through 12-31-22 for right of way acquisition and relocation activities for the Broadway and I-25 Wedge Ramp project in Council District 7 (FINAN-202054884-00).  The last regularly scheduled Council meeting within the 30-day review period is on 8-24-20. The Committee approved filing" infrastructure
6/29/2020 "A resolution approving a proposed Third Revival And Amendatory Lease Agreement between the City and County of Denver and The Archdiocese of Denver for City-owned vacant real property located near 36th Street and Kalamath Street.
Amends a lease agreement with The Archdiocese of Denver as trustee for the benefit of Our Lady of Guadalupe Parish by adding $10 for a new total of $34 and 10 years for a new end date of 12-31-29 for the Parish’s use of vacant City land at the southeast corner of 36th Street and Kalamath Street for parking in Council District 1 (FINAN-202054858; RC45009-03). The last" welfare
6/29/2020 "A bill for an ordinance designating certain properties as being required for public use and authorizing use and acquisition thereof by negotiation or through condemnation proceedings of fee simple, easement and other interests, including any rights and interests related or appurtenant to properties designated as needed for the traffic and pedestrian safety improvement project at various intersections along 6th Avenue including Washington Street, Corona Street and Downing Street.
Grants the authority to acquire through negotiated purchase or condemnation any property interest as needed for int" infrastructure
7/14/2020 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the total sum of Thirty One Thousand  Dollars and Zero Cents ($31,000.00), payable to The Orr Law Firm LLC, in full payment and satisfaction of all claims related to the civil action Linda Jenkins vs. Dominic Perez and City and County of Denver, which was filed in the District Court, Denver County, Colorado, Case No. 2018CV34746.
Settles a claim involving Public Works. This item was approved for filing at the Mayor-Council meeting 7-14-2020." infrastructure
7/14/2020 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the total sum of Fifteen Thousand Dollars and Zero Cents ($15,000.00), payable to Balaban Law LLC, in full payment and satisfaction of all claims related to the civil action Evelina Galitckaia vs. Krystina L. Weiss and City and County of Denver, which was filed in the District Court, Denver County, Colorado, Case No. 2019CV32387.
Settles a claim involving Public Works. This item was approved for filing at the Mayor-Council meeting on 7-14-2020." infrastructure
7/13/2020 "A resolution approving a proposed Second Amendment between the City and County of Denver and Aero Snow Removal (CO), LLC concerning on-call snow removal services at Denver International Airport.
Amends a contract with Aero Snow Removal (CO), LLC by adding three years for a new end date of 8-31-23, reduces the service and annual cost, and changes the billing structure of inches of snowfall per year for on-call snow removal services for Denver International Airport (202055237-02). The last regularly scheduled Council meeting within the 30-day review period is on 8-24-20. The Committee approved" infrastructure
7/13/2020 "A resolution approving a proposed Contract between the City and County of Denver and PCL Construction Services, Inc. concerning the replacement of pre-conditioned air plants on Concourses A and C at Denver International Airport.
Approves a contract with PCL Construction Services, Inc. for $17,100,000 and for 548 days for the replacement of the pre-conditioned air plants on Concourse A and C at Denver International Airport (PLANE-201951778). The last regularly scheduled Council meeting within the 30-day review period is on 8-24-20. The Committee approved filing this item at its meeting on 7-22" infrastructure
7/13/2020 "A bill for an ordinance approving a proposed Restated Intergovernmental Agreement between the City and County of Denver and Colorado Metropolitan Certification Board, for Joint Professional Firefighter Certification.
Amends an intergovernmental agreement with the Colorado Metropolitan Certification Board (CMCB) to update contract language by clarifying organizations participating in the CMCB and recognizing that the CMCB has been accredited and audited by the State of Colorado for joint firefighter certification (FIRESXC5Y066-05; FIRES-202055055). The last regularly scheduled Council meeting" infrastructure
7/14/2020 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the total sum of Thirty-Eight Thousand Four Hundred Fifty-Seven Dollars and Thirteen Cents ($38,457.13), to be issued as follows: Twenty Thousand Dollars and Zero Cents ($20,000.00), payable to Lindsay Krajewski & Robert J. Potrykus, Esq. and Eighteen Thousand Four Hundred Fifty-Seven Dollars and Thirteen Cents, ($18,457.13) to American Family Insurance as Subrogee of John Krajewski, in full payment and satisfaction of all claims related to Claim Number 2019.0610 and" welfare
7/10/2020 "A resolution accepting and approving the plat of Denver Gateway Center Filing No. 6.
Approves a subdivision plat for Denver Gateway Center Filing No. 6, located between East 60th Avenue and East 61st Avenue and North Argonne Street and North Dunkirk Street in Council District 11. The Committee approved filing this item at its meeting on 7-14-20." infrastructure
7/9/2020 "A bill for an ordinance increasing the sales and use tax by a rate of 0.25 percent and dedicating the revenue derived from the tax rate increase to fund efforts to eliminate green house gases and air pollution, and to adapt to climate change, subject to the approval of the voters at a special municipal election to be conducted in coordination with the state general election on November 3, 2020.
Increases the sales and use tax by a rate of 0.25 percent and dedicating the revenue derived from the tax rate increase to fund efforts to reduce carbon pollution and adapt to climate change, subject t" welfare
7/8/2020 "State Legislative Update" government
7/2/2020 "A bill for an ordinance amending the classification and pay plan for employees in the Career Service and for certain employees not in the Career Service. 
Amends the Classification and Pay Plan for multiple small impact changes, provisionally approved by the Office of Human Resources Executive Director for the period of January 2020 through June 2020.  The Committee approved filing this item at its meeting on 7-14-20." economy
7/2/2020 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the Colorado Department of Public Health and Environment concerning the “COVID - ELC” program and the funding therefor.
Approves a grant agreement with the Colorado Department of Public Health and Environment for $5,192,109.73 of State funds and through 12-19-22 to provide reimbursement for the City’s COVID-19 response including critical containment activities such as disease surveillance, case investigation, contact tracing, and testing, citywide (ENVHL-202055225-00)" welfare
7/2/2020 "A bill for an ordinance establishing a new fund in the General Government Special Revenue Fund for the “Climate State Grants” program, and approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the Colorado Department of Local Affairs concerning the “Renewable Denver Initiative” program and the funding therefor.
Establishes the “Climate State Grants Fund,” a new Fund in the General Government Special Revenue Fund Series and approves a grant agreement with The State of Colorado Department of Local Affairs for $1,000,000 and through 6-3" welfare
6/29/2020 "A bill for an ordinance approving a proposed Purchase and Sale Agreement between the City and County of Denver and Mercy Housing Mountain Plains.
Approves a purchase and sale agreement with Mercy Housing Mountain Plains for $10 to sell property located at 8315 East Colfax Avenue and 1500 North Valentia Street in Council District 8 to support affordable housing development with a 99-year restrictive deed term (FINAN-202053697). The last regularly scheduled Council meeting within the 30-day review period is on 8-17-20. The Committee approved filing this item at its meeting on 7-14-20." welfare
7/2/2020 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Root Tree Service, LLC to extend the term.
Amends a contract with Root Tree Service, LLC by adding four months for a new end date of 9-30-20 for on-call tree maintenance, including tree management and pruning, tree removal, stump removal and other services on public and private property, citywide. No change to contract amount (PARKS-201735111). The last regularly scheduled Council meeting within the 30-day review period is on 8-17-20. The Committee approved filing this item at its meeting o" infrastructure
7/2/2020 "A resolution approving the temporary waiver of the accrual of interest for delinquent payment of property taxes.
Approves waiving the full interest associated with the late payment of property taxes beginning July 1 through October 1, 2020, as authorized through HB20-1421. The Committee approved filing this item at its meeting on 7-14-20." welfare
7/2/2020 "A bill for an ordinance establishing a new fund in the General Government Special Revenue Fund for the “Climate Federal Grants” program. 
Establishes the “Climate Federal Grants Fund” a new Fund in the General Government Special Revenue Funds Series. The Committee approved filing this item at its meeting on 7-14-20." welfare
7/2/2020 "A bill for an ordinance approving a proposed Second Amendment to an Intergovernmental Agreement between the City and County of Denver, The Board of County Commissioners of the County of Arapahoe, State of Colorado to add additional funds for the Highline Canal Underpass Project.
Amends an intergovernmental agreement with The Board of County Commissioners of the County of Arapahoe by adding $500,000 of County of Arapahoe funds and $500,000 of City funds for a new total of $3,500,400 to fully fund the project for design and construction of a bike/pedestrian box culvert underpass for the High Li" infrastructure
7/2/2020 "A bill for an ordinance approving a proposed Intergovernmental Agreement between the City and County of Denver and Urban Drainage and Flood Control District, d/b/a Mile High Flood District, for final design and construction of drainage and flood control improvements for Weir Gulch Reach W1 - South Platte River to 8th Avenue.
Approves an intergovernmental agreement Urban Drainage and Flood Control District (UDFCD), doing business as Mile High Flood Control District, for $2 million of UDFCD funds, $2.2 million of City funds and through 12-31-22 to design and construct drainage and flood control" infrastructure
7/2/2020 "A bill for an ordinance approving a proposed First Amendment to North Metro Rail Line Intergovernmental Agreement (Denver-RTD) between the City and County of Denver and Regional Transportation District for the North Metro Rail Line Project.
